"0","n","v","c","f","a","e","y","g","m","s","r","w","b"
0,1.34374531017406e-05,0.000151323819767517,3.29139813495581e-06,0.0251547544306608,0.657096628727993,0.317402352343632,1.1432364661374e-05,1.14849795888344e-05,1.13783110223244e-05,1.13790127691888e-05,1.28164513258206e-05,1.13784041219297e-05,0.000108342303220833
0,0.000112989113748143,0.000599241344376584,1.2724865666195e-06,0.0216422439802382,0.93453463990707,0.0425312362389764,9.78115253107198e-07,9.87979179478177e-07,9.6612850614882e-07,9.66328245677506e-07,1.26561781959344e-06,9.66155004438419e-07,0.000572246605016155
0,0.000892411155152067,0.000742578244718788,8.42255948293298e-07,0.0554428249508899,0.934672663528534,0.00767581445167897,5.59281717822132e-07,5.60483834146601e-07,5.57816313878184e-07,5.57840824288398e-07,5.94388722484257e-07,5.57819565531353e-07,0.000569477782100044
0,0.00570136360735079,0.00117374715847643,1.61107731461839e-06,0.267830874933768,0.72234850078795,0.00281984181270625,1.2624332867383e-07,1.26285516576462e-07,1.26191896559388e-07,1.26192756902913e-07,1.27475462211654e-07,1.26192010696145e-07,0.000123302041461914
0,3.40823112072701e-06,0.00119210750004589,0.0005932497532559,0.87689634916937,0.119470134618068,0.00183964350184765,5.7896745484753e-07,5.78967627264858e-07,5.78967244018629e-07,5.78967247559572e-07,5.78972500178442e-07,5.78967244488386e-07,1.63341697344441e-06
0,0.0983868516284387,0.000457166052522296,4.37330630836605e-07,0.00671674391011042,0.893458580798465,0.000548711229974238,4.10131692059542e-07,4.10140084988189e-07,4.10121459745728e-07,4.1012163091466e-07,4.10376819446891e-07,4.10121482453711e-07,0.000429048036688938
0,0.500012851631203,3.61978487819504e-06,1.57151157936739e-10,5.258672974666e-05,0.499923419281243,4.02896681731477e-06,5.60241622232483e-11,5.60244879491457e-11,5.60237651965035e-11,5.602377183644e-11,5.60336742379797e-11,5.60237660773851e-11,3.49311280671825e-06
0,0.500001485389438,3.61525459516888e-06,9.32342062879959e-11,5.24000332309277e-05,0.499934987410511,4.02230301440334e-06,4.63707985695392e-11,4.63708888383255e-11,4.63706885488788e-11,4.63706903887309e-11,4.63734345278872e-11,4.63706887929613e-11,3.48923774919306e-06
0,3.94332160418881e-07,0.00130035587288087,6.24291424607415e-06,0.184525970658491,0.486067175847969,0.327486238465962,7.47553560047629e-05,7.47599566315624e-05,7.47509106811378e-05,7.47509617108879e-05,7.48721486430188e-05,7.47509174512976e-05,0.000164981657167951
0,3.27533469540195e-09,2.341266813669e-06,3.93675570935778e-09,0.000617550678339675,0.501589997906615,0.497781205908323,1.12178220117351e-06,1.12181281738659e-06,1.1217454916135e-06,1.12174609353636e-06,1.12266681918816e-06,1.1217455714673e-06,2.16552882339105e-06
0,2.3724331927791e-05,2.59569846176573e-05,2.35827243205808e-05,0.00200895219560366,0.0166238765226828,0.9128729032717,0.00351283535407941,0.00562743546374669,0.00205483538449919,0.00205484542287194,0.0530036248351926,0.00205483671630776,0.000112590792449594
0,1.15214757882144e-06,1.24648012381408e-06,1.14520591115698e-06,0.000223047201201393,0.000874566602682147,0.811417286271786,0.00652830949645872,0.0130452648854405,0.00204585109039296,0.00204585434539246,0.161671225671778,0.00204585152223907,9.91990790149835e-05
0,3.43085560403015e-07,3.61106374603507e-07,3.41887305033123e-07,0.000171872464876441,0.000323420119616167,0.951290185550985,0.0118885334877474,0.028635483437741,0.000396584742668184,0.000396585013835416,0.00634820881761904,0.000396584778644222,0.000151495507026994
0,9.24878615304264e-08,9.35406507213569e-08,9.23527142234638e-08,8.26219897005124e-05,0.000232792268281253,0.739453930549812,0.0706350944836728,0.180867574398603,0.00126271777891128,0.00126271791732515,0.00430360201432786,0.0012627177972748,0.000635952420864562
